fips,strategic_class,strategic_site_ids,strategic_km,strategic_bearing,uasi_share,uasi_area
19079,B,warren_field,777.2,263,0,
19081,B,minot_field;warren_field,718.9,316,0,
19083,B,minot_field,799.4,318,0,
19085,B,warren_field,602.7,268,0,
19087,E,,,,0,
19089,B,minot_field,786.2,309,0,
19091,B,warren_field;minot_field,746.3,260,0,
19093,B,warren_field,635.6,261,0,
19095,E,,,,0,
19097,E,,,,0,
19099,E,,,,0,
19101,E,,,,0,
19103,E,,,,0,
19105,E,,,,0,
19107,E,,,,0,
19109,B,minot_field;warren_field,686.2,318,0,
19111,E,,,,0,
19113,E,,,,0,
19115,E,,,,0,
19117,E,,,,0,
19119,B,warren_field,607.7,249,0,
19121,B,warren_field,754,272,0,
19123,E,,,,0,
19125,E,,,,0,
19127,E,,,,0,
19129,A,offutt_afb,20.6,296,0,
19131,B,minot_field,752.7,311,0,
19133,B,warren_field,591,263,0,
19135,E,,,,0,
19137,B,warren_field,657.2,275,0,
19139,E,,,,0,
19141,B,warren_field,639.2,253,0,
19143,B,warren_field;minot_field,649.2,251,0,
19145,B,warren_field,658.7,277,0,
19147,B,warren_field;minot_field,717.1,256,0,
19149,B,warren_field,587.9,255,0,
19151,B,warren_field;minot_field,706.9,259,0,
19153,B,warren_field,782.4,270,0,
19155,A,offutt_afb,19.3,212,0,
19157,E,,,,0,
19159,B,warren_field,738.2,277,0,
19161,B,warren_field,669.1,262,0,
19163,E,,,,0,
19165,B,warren_field,642.6,268,0,
19167,B,warren_field,601,252,0,
19169,B,warren_field,786.7,267,0,
19171,E,,,,0,
19173,B,warren_field,701,277,0,
19175,B,warren_field,728,274,0,
19177,E,,,,0,
19179,E,,,,0,
19181,B,warren_field,786.4,272,0,
19183,E,,,,0,
19185,E,,,,0,
19187,B,warren_field,744.7,262,0,
19189,B,minot_field,701.4,315,0,
19191,E,,,,0,
19193,B,warren_field,569.7,258,0,
19195,B,minot_field,723.5,313,0,
19197,B,minot_field;warren_field,745.4,319,0,
20001,B,warren_field,734.7,298,0,
20003,B,warren_field,725.6,295,0,
20005,B,warren_field,684.8,284,0,
20007,B,warren_field,553.4,316,0,
20009,B,warren_field,452.8,306,0,
20011,B,warren_field,785.7,297,0,
20013,B,warren_field,647.6,282,0,
20015,B,warren_field,621.7,304,0,
20017,B,warren_field,618.8,297,0,
20019,B,warren_field,716.4,306,0,
20021,E,,,,0,
20023,B,warren_field,156.6,313,0,
20025,B,warren_field,531.6,314,0,
20027,B,warren_field,530.4,289,0,
20029,B,warren_field,482.3,288,0,
20031,B,warren_field,688,296,0,
20033,B,warren_field,569.5,312,0,
20035,B,warren_field,658.3,309,0,
20037,E,,,,0,
20039,B,warren_field,243.8,296,0,
20041,B,warren_field,546.9,294,0,
20043,B,warren_field,688.2,281,0,
20045,B,warren_field,697.7,289,0,
20047,B,warren_field,448.6,315,0,
20049,B,warren_field,695.9,304,0,
20051,B,warren_field,381.1,304,0,
20053,B,warren_field,468.6,300,0,
20055,B,warren_field,417.2,315,0,
20057,B,warren_field,490.1,311,0,
20059,B,warren_field,710.3,292,0,
20061,B,warren_field,565.3,291,0,
20063,B,warren_field,297.5,310,0,
20065,B,warren_field,314.7,300,0,
20067,E,,,,0,
20069,B,warren_field,465.2,314,0,
20071,B,warren_field,322.2,316,0,
20073,B,warren_field,671,300,0,
20075,E,,,,0,
20077,B,warren_field,585,313,0,
20079,B,warren_field,573.6,303,0,
20081,E,,,,0,
20083,B,warren_field,476.2,307,0,
20085,B,warren_field,641.4,286,0,
20087,B,warren_field,676.7,287,0,
20089,B,warren_field,428.3,286,0,
20091,C1,kcnsc,17.7,112,0.001767,37
20093,E,,,,0,
20095,B,warren_field,552.5,310,0,
20097,B,warren_field,551.7,308,0,
20099,B,warren_field,778.3,302,0,
20101,B,warren_field,404.8,306,0,
20103,B,warren_field,712.1,286,0.0002372,37
20105,B,warren_field,458.8,296,0,
20107,B,warren_field,762.9,294,0.00002779,37
20109,B,warren_field,258.9,315,0,
20111,B,warren_field,645.5,296,0,
20113,B,warren_field,534.5,301,0,
20115,B,warren_field,576.9,299,0,
20117,B,warren_field,562.3,283,0,
20119,E,,,,0,
