fips,event_type,rate_per_year,share_damaging,median_days,p90_days,events,share_injury,source,years
42055,tropical_storm_passage,0.09211,,,,7,,hurdat2,1950-2025
42055,winter_storm,2.033,0.03279,0.6931,1.333,61,0,storm_events,1996-2025
42057,drought,0.2,0,1.666,31,6,0,storm_events,1996-2025
42057,extreme_cold,0.2333,0,0.7917,1.875,7,0,storm_events,1996-2025
42057,flash_flood,0.4,0.08333,0.07639,0.4167,12,0,storm_events,1996-2025
42057,flood,0.3,0,0.7917,3,9,0.1111,storm_events,1996-2025
42057,hail_1in_day,0.3,0.1111,,,9,0,spc,1996-2025
42057,hail_2in_day,0.06667,0,,,2,0,spc,1996-2025
42057,heat,0.1,0,1.333,2,3,0,storm_events,1996-2025
42057,high_wind,0.4333,0.2308,0.3958,0.8333,13,0,storm_events,1996-2025
42057,hurricane_passage,0.01316,,,,1,,hurdat2,1950-2025
42057,ice_storm,0.1667,0,1.083,1.583,5,0,storm_events,1996-2025
42057,severe_wind_65kt_day,0.03333,1,,,1,0,spc,1996-2025
42057,severe_wind_day,1.433,0.5581,,,43,0,spc,1996-2025
42057,tornado,0.2,0.6667,,,6,0,spc,1996-2025
42057,tropical_cyclone_impact,0.03333,0,0.5833,0.5833,1,0,storm_events,1996-2025
42057,tropical_storm_passage,0.05263,,,,4,,hurdat2,1950-2025
42057,winter_storm,1.767,0.01887,0.75,1.417,53,0.01887,storm_events,1996-2025
42059,drought,0.2333,0,29.96,31,7,0,storm_events,1996-2025
42059,extreme_cold,0.1667,0,1.167,2.5,5,0,storm_events,1996-2025
42059,flash_flood,1.3,0.4872,0.1042,0.375,39,0,storm_events,1996-2025
42059,flood,0.8333,0.52,0.3104,1.042,25,0,storm_events,1996-2025
42059,hail_1in_day,0.4333,0,,,13,0,spc,1996-2025
42059,hail_2in_day,0.03333,0,,,1,0,spc,1996-2025
42059,high_wind,0.3667,0.8182,0.1667,0.3403,11,0,storm_events,1996-2025
42059,ice_storm,0.1333,0,0.375,1,4,0,storm_events,1996-2025
42059,severe_wind_day,3.533,0.8019,,,106,0.009434,spc,1996-2025
42059,tornado,0.1667,0.8,,,5,0,spc,1996-2025
42059,tropical_storm_passage,0.05263,,,,4,,hurdat2,1950-2025
42059,winter_storm,0.8667,0,0.8333,1.833,26,0,storm_events,1996-2025
42061,drought,0.2,0,1.708,31,6,0,storm_events,1996-2025
42061,extreme_cold,0.2667,0,0.7917,1.875,8,0,storm_events,1996-2025
42061,flash_flood,1,0.1333,0.1146,0.4674,30,0.03333,storm_events,1996-2025
42061,flood,1.1,0.0303,0.6667,1.583,33,0,storm_events,1996-2025
42061,hail_1in_day,0.5,0,,,15,0,spc,1996-2025
42061,heat,0.1,0,1.333,2,3,0,storm_events,1996-2025
42061,high_wind,0.4333,0.3077,0.4583,0.5833,13,0,storm_events,1996-2025
42061,hurricane_passage,0.01316,,,,1,,hurdat2,1950-2025
42061,ice_storm,0.2333,0,0.5833,1.583,7,0,storm_events,1996-2025
42061,severe_wind_65kt_day,0.1,0.6667,,,3,0,spc,1996-2025
42061,severe_wind_day,4.267,0.5469,,,128,0.01562,spc,1996-2025
42061,tornado,0.1333,1,,,4,0,spc,1996-2025
42061,tropical_cyclone_impact,0.03333,0,0.5833,0.5833,1,0,storm_events,1996-2025
42061,tropical_storm_passage,0.05263,,,,4,,hurdat2,1950-2025
42061,winter_storm,1.767,0.01887,0.75,1.292,53,0,storm_events,1996-2025
42063,extreme_cold,0.03333,0,2.5,2.5,1,0,storm_events,1996-2025
42063,flash_flood,1.567,0.5532,0.08333,0.3646,47,0.02128,storm_events,1996-2025
42063,flood,0.5333,0.6875,0.2139,0.3535,16,0,storm_events,1996-2025
42063,hail_1in_day,0.9,0.03704,,,27,0,spc,1996-2025
42063,hail_2in_day,0.06667,0,,,2,0,spc,1996-2025
42063,high_wind,0.06667,1,0.375,1.167,2,0,storm_events,1996-2025
42063,severe_wind_65kt_day,0.1333,0.75,,,4,0,spc,1996-2025
42063,severe_wind_day,5.133,0.7922,,,154,0.006494,spc,1996-2025
42063,tornado,0.3667,0.5455,,,11,0.2727,spc,1996-2025
42063,tornado_ef2plus,0.06667,1,,,2,1,spc,1996-2025
42063,tropical_storm_passage,0.03947,,,,3,,hurdat2,1950-2025
42063,winter_storm,0.1667,0,1.083,1.75,5,0,storm_events,1996-2025
42065,drought,0.06667,0,30,31,2,0,storm_events,1996-2025
42065,extreme_cold,0.4333,0,1.167,2.208,13,0,storm_events,1996-2025
42065,flash_flood,1.367,0.5366,0.09722,0.5625,41,0,storm_events,1996-2025
42065,flood,0.7333,0.6364,0.2056,1.095,22,0,storm_events,1996-2025
42065,hail_1in_day,0.6667,0,,,20,0,spc,1996-2025
42065,high_wind,0.7667,0.6957,0.04167,0.3403,23,0,storm_events,1996-2025
42065,ice_storm,0.5,0.2667,0.5,1.125,15,0,storm_events,1996-2025
42065,severe_wind_65kt_day,0.03333,0,,,1,0,spc,1996-2025
42065,severe_wind_day,4.7,0.8227,,,141,0.007092,spc,1996-2025
42065,tornado,0.3667,0.8182,,,11,0.1818,spc,1996-2025
42065,tornado_ef2plus,0.1,0.6667,,,3,0.3333,spc,1996-2025
42065,tropical_storm_passage,0.02632,,,,2,,hurdat2,1950-2025
42065,winter_storm,1.6,0.02083,0.7083,1.375,48,0,storm_events,1996-2025
42067,drought,0.1333,0,0,31,4,0,storm_events,1996-2025
42067,extreme_cold,0.1667,0,0.5,1.417,5,0,storm_events,1996-2025
42067,flash_flood,0.4667,0.2143,0.125,0.4167,14,0.07143,storm_events,1996-2025
42067,flood,0.2333,0,0.7396,2.958,7,0,storm_events,1996-2025
42067,hail_1in_day,0.1,0,,,3,0,spc,1996-2025
42067,hail_2in_day,0.06667,0,,,2,0,spc,1996-2025
42067,heat,0.2,0,0.3333,2.042,6,0,storm_events,1996-2025
42067,high_wind,0.4667,0.2857,0.3958,0.5833,14,0,storm_events,1996-2025
42067,hurricane_passage,0.01316,,,,1,,hurdat2,1950-2025
42067,ice_storm,0.2667,0,0.5833,1.583,8,0,storm_events,1996-2025
42067,severe_wind_65kt_day,0.03333,1,,,1,0,spc,1996-2025
42067,severe_wind_day,2.433,0.5616,,,73,0,spc,1996-2025
42067,tornado,0.2333,0.7143,,,7,0,spc,1996-2025
42067,tornado_ef2plus,0.03333,1,,,1,0,spc,1996-2025
42067,tropical_cyclone_impact,0.03333,0,0.5833,0.5833,1,0,storm_events,1996-2025
42067,tropical_storm_passage,0.06579,,,,5,,hurdat2,1950-2025
42067,winter_storm,1.767,0.01887,0.75,1.292,53,0,storm_events,1996-2025
42069,drought,0.1667,0.2,30,31,5,0,storm_events,1996-2025
42069,extreme_cold,0.3,0.2222,0.375,1.583,9,0,storm_events,1996-2025
42069,flash_flood,1.467,0.8864,0.1146,0.375,44,0.02273,storm_events,1996-2025
42069,flood,0.4333,0.3846,0.3542,2.375,13,0,storm_events,1996-2025
42069,hail_1in_day,0.7,0.09524,,,21,0,spc,1996-2025
42069,heat,0.1333,0,6,31,4,0,storm_events,1996-2025
42069,high_wind,0.6,0.8333,0.25,0.625,18,0.05556,storm_events,1996-2025
42069,ice_storm,0.1667,0,0.625,0.9167,5,0,storm_events,1996-2025
42069,severe_wind_65kt_day,0.1333,1,,,4,0.25,spc,1996-2025
42069,severe_wind_day,3.733,0.7679,,,112,0.008929,spc,1996-2025
42069,tornado,0.3333,1,,,10,0,spc,1996-2025
42069,tornado_ef2plus,0.03333,1,,,1,0,spc,1996-2025
42069,tropical_storm_passage,0.05263,,,,4,,hurdat2,1950-2025
42069,winter_storm,2.333,0.2143,0.7083,1.333,70,0,storm_events,1996-2025
42071,drought,0.3667,0,30,31,11,0,storm_events,1996-2025
42071,extreme_cold,0.1667,0,0.7917,2.375,5,0,storm_events,1996-2025
42071,flash_flood,2.333,0.1,0.1458,0.5,70,0,storm_events,1996-2025
42071,flood,1.867,0.05357,0.4479,2.208,56,0.05357,storm_events,1996-2025
42071,hail_1in_day,1.567,0.02128,,,47,0,spc,1996-2025
42071,hail_2in_day,0.03333,0,,,1,0,spc,1996-2025
42071,heat,0.4333,0,0.25,2.25,13,0.07692,storm_events,1996-2025
42071,high_wind,0.8333,0.2,0.3542,0.5833,25,0,storm_events,1996-2025
42071,hurricane_passage,0.01316,,,,1,,hurdat2,1950-2025
42071,ice_storm,0.2333,0,0.4583,1.583,7,0,storm_events,1996-2025
42071,severe_wind_65kt_day,0.3,0.7778,,,9,0.1111,spc,1996-2025
42071,severe_wind_day,7.767,0.6953,,,233,0.02146,spc,1996-2025
42071,tornado,0.6,0.7222,,,18,0.2222,spc,1996-2025
42071,tornado_ef2plus,0.1,0.6667,,,3,0,spc,1996-2025
42071,tropical_cyclone_impact,0.03333,0,0.5833,0.5833,1,0,storm_events,1996-2025
42071,tropical_storm_passage,0.1184,,,,9,,hurdat2,1950-2025
42071,winter_storm,2.1,0,0.7083,1.292,63,0.03175,storm_events,1996-2025
42073,drought,0.06667,0,30,31,2,0,storm_events,1996-2025
42073,extreme_cold,0.2667,0,0.7083,2.5,8,0,storm_events,1996-2025
42073,flash_flood,1.767,0.4528,0.08681,0.4708,53,0,storm_events,1996-2025
42073,flood,0.8333,0.8,0.4236,1.618,25,0,storm_events,1996-2025
42073,hail_1in_day,0.7333,0,,,22,0,spc,1996-2025
42073,hail_2in_day,0.06667,0,,,2,0,spc,1996-2025
42073,high_wind,0.5333,0.625,0.08333,0.4583,16,0.0625,storm_events,1996-2025
42073,ice_storm,0.2,0.1667,0.2917,0.7083,6,0,storm_events,1996-2025
42073,severe_wind_65kt_day,0.06667,0.5,,,2,0,spc,1996-2025
42073,severe_wind_day,5,0.84,,,150,0.006667,spc,1996-2025
42073,tornado,0.1,0.6667,,,3,0,spc,1996-2025
42073,tropical_storm_passage,0.05263,,,,4,,hurdat2,1950-2025
42073,winter_storm,1.033,0.03226,0.75,1.417,31,0,storm_events,1996-2025
42075,drought,0.3667,0,30,31,11,0,storm_events,1996-2025
42075,extreme_cold,0.1333,0,0.4167,1.417,4,0,storm_events,1996-2025
42075,flash_flood,1.133,0.05882,0.1188,0.3958,34,0,storm_events,1996-2025
42075,flood,1.1,0.0303,0.6979,3.469,33,0.0303,storm_events,1996-2025
42075,hail_1in_day,0.6667,0.1,,,20,0,spc,1996-2025
42075,heat,0.4,0,0.25,2.125,12,0,storm_events,1996-2025
42075,high_wind,0.7,0.3333,0.25,0.5417,21,0,storm_events,1996-2025
42075,hurricane_passage,0.01316,,,,1,,hurdat2,1950-2025
42075,ice_storm,0.2,0,0.4583,1.583,6,0,storm_events,1996-2025
42075,severe_wind_65kt_day,0.3,0.7778,,,9,0,spc,1996-2025
42075,severe_wind_day,4.9,0.6122,,,147,0.006803,spc,1996-2025
42075,tornado,0.2667,0.625,,,8,0,spc,1996-2025
